,name,registeredUsers,state,year,quarter
446,anantapur,1295872,andhra-pradesh,2020,4
447,kurnool,1230466,andhra-pradesh,2020,4
448,west godavari,1163179,andhra-pradesh,2020,4
449,spsr nellore,1022944,andhra-pradesh,2020,4
450,prakasam,999462,andhra-pradesh,2020,4
451,517501,178328,andhra-pradesh,2020,4
452,517507,160062,andhra-pradesh,2020,4
453,515001,137945,andhra-pradesh,2020,4
454,530016,136049,andhra-pradesh,2020,4
455,518002,130871,andhra-pradesh,2020,4
456,516001,130500,andhra-pradesh,2020,4
457,516360,117397,andhra-pradesh,2020,4
458,524002,110746,andhra-pradesh,2020,4
459,530026,106320,andhra-pradesh,2020,4
460,520010,104956,andhra-pradesh,2020,4
461,visakhapatnam,2368081,andhra-pradesh,2021,1
462,east godavari,1878769,andhra-pradesh,2021,1
463,krishna,1876458,andhra-pradesh,2021,1
464,guntur,1843237,andhra-pradesh,2021,1
465,chittoor,1751420,andhra-pradesh,2021,1
466,anantapur,1394849,andhra-pradesh,2021,1
467,kurnool,1323411,andhra-pradesh,2021,1
468,west godavari,1254117,andhra-pradesh,2021,1
469,spsr nellore,1100541,andhra-pradesh,2021,1
470,prakasam,1075936,andhra-pradesh,2021,1
471,517501,190712,andhra-pradesh,2021,1
472,517507,171417,andhra-pradesh,2021,1
473,515001,147941,andhra-pradesh,2021,1
474,530016,145206,andhra-pradesh,2021,1
475,518002,140153,andhra-pradesh,2021,1
476,516001,139840,andhra-pradesh,2021,1
477,516360,126260,andhra-pradesh,2021,1
478,524002,118730,andhra-pradesh,2021,1
479,530026,113581,andhra-pradesh,2021,1
480,520010,112324,andhra-pradesh,2021,1
481,visakhapatnam,2526830,andhra-pradesh,2021,2
482,east godavari,2006272,andhra-pradesh,2021,2
483,krishna,2002662,andhra-pradesh,2021,2
484,guntur,1968681,andhra-pradesh,2021,2
485,chittoor,1870723,andhra-pradesh,2021,2
486,anantapur,1492738,andhra-pradesh,2021,2
487,kurnool,1415585,andhra-pradesh,2021,2
488,west godavari,1339377,andhra-pradesh,2021,2
489,spsr nellore,1176334,andhra-pradesh,2021,2
490,prakasam,1151232,andhra-pradesh,2021,2
491,517501,203005,andhra-pradesh,2021,2
492,517507,182425,andhra-pradesh,2021,2
493,515001,157649,andhra-pradesh,2021,2
494,530016,154509,andhra-pradesh,2021,2
495,518002,149368,andhra-pradesh,2021,2
496,516001,148851,andhra-pradesh,2021,2
497,516360,134622,andhra-pradesh,2021,2
498,524002,126459,andhra-pradesh,2021,2
499,530026,120973,andhra-pradesh,2021,2
500,520010,119561,andhra-pradesh,2021,2
501,visakhapatnam,2707931,andhra-pradesh,2021,3
502,east godavari,2150622,andhra-pradesh,2021,3
503,krishna,2145423,andhra-pradesh,2021,3
504,guntur,2110878,andhra-pradesh,2021,3
505,chittoor,2007011,andhra-pradesh,2021,3
506,anantapur,1606735,andhra-pradesh,2021,3
507,kurnool,1522196,andhra-pradesh,2021,3
508,west godavari,1436576,andhra-pradesh,2021,3
509,spsr nellore,1263550,andhra-pradesh,2021,3
510,prakasam,1239147,andhra-pradesh,2021,3
511,517501,216777,andhra-pradesh,2021,3
512,517507,194860,andhra-pradesh,2021,3
513,515001,168654,andhra-pradesh,2021,3
514,530016,164812,andhra-pradesh,2021,3
515,518002,159802,andhra-pradesh,2021,3
516,516001,158891,andhra-pradesh,2021,3
517,516360,144068,andhra-pradesh,2021,3
518,524002,135136,andhra-pradesh,2021,3
519,530026,129270,andhra-pradesh,2021,3
520,520010,127618,andhra-pradesh,2021,3
521,visakhapatnam,2888774,andhra-pradesh,2021,4
522,east godavari,2294347,andhra-pradesh,2021,4
523,krishna,2288148,andhra-pradesh,2021,4
524,guntur,2252443,andhra-pradesh,2021,4
525,chittoor,2141818,andhra-pradesh,2021,4
526,anantapur,1719437,andhra-pradesh,2021,4
527,kurnool,1628242,andhra-pradesh,2021,4
528,west godavari,1532898,andhra-pradesh,2021,4
529,spsr nellore,1349290,andhra-pradesh,2021,4
530,prakasam,1325728,andhra-pradesh,2021,4
531,517501,230688,andhra-pradesh,2021,4
532,517507,207174,andhra-pradesh,2021,4
533,515001,179763,andhra-pradesh,2021,4
534,530016,175300,andhra-pradesh,2021,4
535,518002,170267,andhra-pradesh,2021,4
536,516001,169158,andhra-pradesh,2021,4
537,516360,153381,andhra-pradesh,2021,4
538,524002,143764,andhra-pradesh,2021,4
539,530026,137812,andhra-pradesh,2021,4
540,520010,135719,andhra-pradesh,2021,4
541,visakhapatnam,3061324,andhra-pradesh,2022,1
542,east godavari,2432305,andhra-pradesh,2022,1
543,krishna,2423373,andhra-pradesh,2022,1
544,guntur,2387051,andhra-pradesh,2022,1
545,chittoor,2270705,andhra-pradesh,2022,1
546,anantapur,1827094,andhra-pradesh,2022,1
547,kurnool,1729513,andhra-pradesh,2022,1
